"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3043","Himachal Pradesh","Installing hand pumps","WS/MP078/2025-2026/157671","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","10-Mar-2026","MS RAJESH ENGINEERING SERVICES SUJANPUR","Payment Success","89050"
"3044","Punjab","Construction of buildings for sports facilities","WS/MP141/2025-2026/213565","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","22-Jun-2026","CORAL ENGINEERS AND INNOVATIONS","Payment Success","116271"
"3045","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213559","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-May-2026","CORAL ENGINEERS AND INNOVATIONS","Payment Success","320915"
"3046","Punjab","Construction of buildings for sports facilities","WS/MP141/2025-2026/213565","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","10-Jul-2026","CORAL ENGINEERS AND INNOVATIONS","Payment Success","994252"
"3047","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213559","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","16-Jun-2026","CORAL ENGINEERS AND INNOVATIONS","Payment Success","242656"
"3048","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254906","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","10-Mar-2026","RAISUDDIN CONTRACTOR","Payment Success","499265"
"3049","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/142549","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SUMIT KUMAR","Payment Success","89750"
"3050","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Bansal Bricks Kilan Gram Udyog Samiti","Payment Success","31000"
"3051","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Bansal Bricks Kilan Gram Udyog Samiti","Payment Success","31000"
"3052","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2025-2026/268748","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Bansal Bricks Kilan Gram Udyog Samiti","Payment Success","18600"
