"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2980","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18403/2025-2026/187836","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","26-Mar-2026","ASIAN CONSTRUCTION","Payment Success","148199"
"2981","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18403/2025-2026/187837","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","26-Mar-2026","ASIAN CONSTRUCTION","Payment Success","148199"
"2982","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18403/2025-2026/187838","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","26-Mar-2026","ASIAN CONSTRUCTION","Payment Success","150000"
"2983","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18403/2025-2026/187839","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","26-Mar-2026","ASIAN CONSTRUCTION","Payment Success","150000"
"2984","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18403/2025-2026/187840","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","26-Mar-2026","ASIAN CONSTRUCTION","Payment Success","150000"
"2985","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18403/2025-2026/187841","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","26-Mar-2026","ASIAN CONSTRUCTION","Payment Success","150000"
"2986","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18403/2025-2026/187842","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","26-Mar-2026","ASIAN CONSTRUCTION","Payment Success","150000"
"2987","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18403/2025-2026/187843","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","26-Mar-2026","ASIAN CONSTRUCTION","Payment Success","150000"
"2988","Uttar Pradesh","Development of public parks","WS/MP183/2025-2026/263870","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","20-Mar-2026","M S CONSTRUCTION","Payment Success","2023048"
"2989","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263867","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","06-Apr-2026","M S CONSTRUCTION","Payment Success","2554939"
